Ave	Max	MaxTime	Psd	Ring	Rms	Width	Rp	Rm	A
46.56654 	0.61171 	575	567982.46868 	3404	65.66205 	5725	254.00 	356.00 	42.10 
46.41080 	0.60113 	800	562438.35114 	3408	65.18767 	5525	254.00 	356.00 	42.10 
46.58413 	0.63588 	600	565651.92247 	3290	65.50209 	5675	254.00 	356.00 	42.10 
46.67823 	0.63302 	625	573975.56164 	3298	65.91261 	5375	254.00 	356.00 	42.10 
46.68315 	0.62932 	850	568022.84125 	3367	65.75881 	5700	254.00 	356.00 	42.10 
46.31380 	0.62545 	700	567789.26211 	3266	65.50072 	5250	254.00 	356.00 	42.10 
47.10898 	0.62163 	750	578151.22496 	3291	66.87916 	5700	254.00 	356.00 	42.10 
47.06393 	0.89118 	1175	678687.01062 	2348	76.03518 	3275	383.00 	457.00 	31.80 
48.18031 	0.92256 	1125	684279.77428 	2329	76.82730 	3200	383.00 	457.00 	31.80 
47.01679 	0.90668 	1100	682595.75267 	2374	75.87021 	3000	383.00 	457.00 	31.80 
47.62764 	0.90142 	1225	680241.41412 	2425	76.15019 	3150	383.00 	457.00 	31.80 
47.14089 	0.87570 	1175	669691.01879 	2400	74.98515 	3150	383.00 	457.00 	31.80 
46.69859 	0.88279 	1250	679198.17774 	2370	75.51643 	2950	383.00 	457.00 	31.80 
49.04596 	0.89621 	1325	690402.30800 	2459	76.94813 	3150	383.00 	457.00 	31.80 
48.96782 	0.93259 	1125	699292.21088 	2382	77.82826 	2925	383.00 	457.00 	31.80 
48.91394 	0.91890 	1125	696578.20038 	2407	77.90896 	3225	383.00 	457.00 	31.80 
48.39958 	0.87979 	1175	679053.94042 	2511	75.94085 	3250	383.00 	457.00 	31.80 
47.86614 	0.88543 	1200	687353.76410 	2440	76.22663 	3100	383.00 	457.00 	31.80 
48.63850 	0.90190 	1150	683734.57621 	2468	76.13276 	3250	383.00 	457.00 	31.80 
48.63280 	0.90946 	1175	699315.56346 	2336	77.76017 	3025	383.00 	457.00 	31.80 
47.70780 	0.90911 	1275	682140.45363 	2362	76.34363 	3200	383.00 	457.00 	31.80 
47.50224 	0.90492 	1175	680900.84775 	2364	75.68955 	3050	383.00 	457.00 	31.80 
47.65735 	0.89523 	1150	671634.23019 	2335	75.60638 	3150	383.00 	457.00 	31.80 
45.30639 	0.82866 	1200	642257.63931 	2441	71.94902 	3275	383.00 	457.00 	31.80 
45.71650 	0.82803 	1175	641929.98561 	2453	72.20215 	3175	383.00 	457.00 	31.80 
45.59193 	0.83943 	1350	648062.05958 	2418	72.45387 	3000	383.00 	457.00 	31.80 
45.09360 	0.87756 	1275	640865.57832 	2287	71.47969 	3150	383.00 	457.00 	31.80 
45.62381 	0.85578 	1250	644834.55853 	2376	72.24554 	2925	383.00 	457.00 	31.80 
44.84393 	0.78392 	1225	623574.24889 	2620	69.97701 	3450	383.00 	457.00 	31.80 
45.17425 	0.84695 	1175	637190.23332 	2469	71.62061 	3150	383.00 	457.00 	31.80 
45.18632 	0.81303 	1250	632621.11289 	2465	71.26079 	3425	383.00 	457.00 	31.80 
45.86848 	0.85969 	1275	650305.10510 	2387	72.68408 	3075	383.00 	457.00 	31.80 
45.53969 	0.86821 	1300	646253.23106 	2337	72.16191 	2975	383.00 	457.00 	31.80 
45.31614 	0.83393 	1275	639466.69905 	2462	71.42773 	3250	383.00 	457.00 	31.80 
45.20579 	0.84968 	1200	633604.93237 	2403	71.61169 	3225	383.00 	457.00 	31.80 
45.57313 	0.82360 	1175	635631.69143 	2457	71.74147 	3325	383.00 	457.00 	31.80 
45.82306 	0.87848 	1275	658174.73623 	2357	73.25498 	3200	383.00 	457.00 	31.80 
46.53120 	0.88605 	1200	659238.09368 	2298	74.22996 	3025	383.00 	457.00 	31.80 
46.92128 	0.88537 	1250	660287.53003 	2409	73.97498 	3050	383.00 	457.00 	31.80 
46.37213 	0.84068 	1150	644561.14709 	2546	72.45168 	3350	383.00 	457.00 	31.80 
45.82061 	0.87344 	1225	658970.89859 	2358	73.15097 	3075	383.00 	457.00 	31.80 
45.44010 	0.79657 	1350	636355.01895 	2562	71.47706 	3600	383.00 	457.00 	31.80 
